32610
[sudo] password for yarikov: 2018-07-17 17:28:43 [INFO    ] Host: stapel.red-soft.ru
2018-07-17 17:42:22 [DEBUG   ] Processed 9200 out of 13833 packages
2018-07-17 17:42:22 [DEBUG   ] Processed 9300 out of 13833 packages
2018-07-17 17:42:23 [DEBUG   ] Processed 9400 out of 13833 packages
2018-07-17 17:42:23 [DEBUG   ] Processed 9500 out of 13833 packages
2018-07-17 17:42:24 [DEBUG   ] Processed 9600 out of 13833 packages
2018-07-17 17:42:24 [DEBUG   ] Processed 9700 out of 13833 packages
2018-07-17 17:42:25 [DEBUG   ] Processed 9800 out of 13833 packages
2018-07-17 17:42:25 [DEBUG   ] Processed 9900 out of 13833 packages
2018-07-17 17:42:26 [DEBUG   ] Processed 10000 out of 13833 packages
2018-07-17 17:42:26 [DEBUG   ] Processed 10100 out of 13833 packages
2018-07-17 17:42:27 [DEBUG   ] Processed 10200 out of 13833 packages
2018-07-17 17:42:27 [DEBUG   ] Processed 10300 out of 13833 packages
2018-07-17 17:42:28 [DEBUG   ] Processed 10400 out of 13833 packages
2018-07-17 17:42:28 [DEBUG   ] Processed 10500 out of 13833 packages
2018-07-17 17:42:29 [DEBUG   ] Processed 10600 out of 13833 packages
2018-07-17 17:42:29 [DEBUG   ] Processed 10700 out of 13833 packages
2018-07-17 17:42:29 [DEBUG   ] Processed 10800 out of 13833 packages
2018-07-17 17:42:30 [DEBUG   ] Processed 10900 out of 13833 packages
2018-07-17 17:42:31 [DEBUG   ] Processed 11000 out of 13833 packages
2018-07-17 17:42:32 [DEBUG   ] Processed 11100 out of 13833 packages
2018-07-17 17:42:33 [DEBUG   ] Processed 11200 out of 13833 packages
2018-07-17 17:42:33 [DEBUG   ] Processed 11300 out of 13833 packages
2018-07-17 17:42:33 [DEBUG   ] Processed 11400 out of 13833 packages
2018-07-17 17:42:34 [DEBUG   ] Processed 11500 out of 13833 packages
2018-07-17 17:42:34 [DEBUG   ] Processed 11600 out of 13833 packages
2018-07-17 17:42:35 [DEBUG   ] Processed 11700 out of 13833 packages
2018-07-17 17:42:35 [DEBUG   ] Processed 11800 out of 13833 packages
2018-07-17 17:42:36 [DEBUG   ] Processed 11900 out of 13833 packages
2018-07-17 17:42:36 [DEBUG   ] Processed 12000 out of 13833 packages
2018-07-17 17:42:37 [DEBUG   ] Processed 12100 out of 13833 packages
